,precision,recall,f1-score,support
0,0.9561139028475711,0.9513333333333334,0.953717627401838,3000.0
1,0.9844112769485904,0.9893333333333333,0.9868661679135494,3000.0
2,0.928133514986376,0.9083333333333333,0.9181266846361186,3000.0
3,0.9184073107049608,0.938,0.9281002638522428,3000.0
accuracy,0.94675,0.94675,0.94675,0.94675
macro avg,0.9467665013718747,0.94675,0.9467026859509372,12000.0
weighted avg,0.9467665013718746,0.94675,0.9467026859509372,12000.0
