,precision,recall,f1-score,support
0,0.9651995905834186,0.943,0.9539706626201315,3000.0
1,0.9841479524438573,0.9933333333333333,0.9887193098871931,3000.0
2,0.9215619694397283,0.9046666666666666,0.9130361648444071,3000.0
3,0.9050387596899225,0.934,0.9192913385826772,3000.0
accuracy,0.94375,0.94375,0.94375,0.94375
macro avg,0.9439870680392317,0.94375,0.9437543689836022,12000.0
weighted avg,0.9439870680392317,0.94375,0.9437543689836023,12000.0
