,precision,recall,f1-score,support
1,0.9312114989733059,0.907,0.9189463019250254,3000.0
2,0.9521345407503234,0.9813333333333333,0.9665134602757715,3000.0
3,0.9006085192697769,0.888,0.8942598187311178,3000.0
4,0.9042272126816381,0.9126666666666666,0.9084273390842734,3000.0
accuracy,0.92225,0.92225,0.92225,0.92225
macro avg,0.9220454429187611,0.9222499999999999,0.9220367300040471,12000.0
weighted avg,0.922045442918761,0.92225,0.9220367300040471,12000.0
