model,param,value,epochs,val_accuracy,val_macro_f1,takeaway
distilbert,learning_rate,1e-5,1,0.935,0.9349,Lower performance than 2e-5
distilbert,learning_rate,2e-5,1,0.9408,0.9408,Best performing learning rate
